mol,enan,Eafw,Earev,dErxn,ETS,ERt,EPr,HRt,HPr,HTS,Hafw,dH,rxn_smiles_mapped,rxn_smiles
1dbp5,S,12.53073669,23.26052118,-10.7297845,-1503212.41728201,-1503224.94800923,-1503235.67778562,-1502978.85968723,-1502988.26039956,-1502966.30197712,12.5577101078816,-9.40071232919581,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[C:44]([H:46])([H:47])[H:48])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:41]([H:49])([H:50])[H:51])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[C:44]([H:46])([H:47])[H:48])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:41]([H:49])([H:50])[H:51])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([H])([H])[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([H])([H])[H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([H])([H])[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([H])([H])[H])[n+]2[O]1
1ebp1,R,8.540403941,24.16287981,-15.62247586,-1876819.28230249,-1876827.82269998,-1876843.44516405,-1876609.69743404,-1876624.07805779,-1876601.12064103,8.57679301220924,-14.3806237527169,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si:1]([O:2][C:3]([c:4]1[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]1[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]1[c:26](-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O-:25])[c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]1[C:44]([F:49])([F:50])[F:51],[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si]([O][C]([c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]1[c](-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O-])[c]([H])[c]([H])[c]([H])[c]1[C]([F])([F])[F]
1ebp2,R,7.144195362,25.56975605,-18.42556069,-1876820.58375616,-1876827.72794613,-1876846.15349289,-1876609.61397534,-1876626.53099047,-1876602.31667318,7.2973021606449,-16.9170151310973,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si:1]([O:2][C:3]([c:4]1[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]1[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:25][n+:42]1[c:27](-[c:26]2[c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]([C:44]([F:49])([F:50])[F:51])[n+:41]2[O-:24])[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]1[C:45]([F:46])([F:47])[F:48],[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si]([O][C]([c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]1[c](-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O-])[c]([H])[c]([H])[c]([H])[c]1[C]([F])([F])[F]
1ebp3,R,6.684858426,23.73115329,-17.04629486,-1876812.80138954,-1876819.48624292,-1876836.5325249,-1876601.91130237,-1876617.10204024,-1876595.01497846,6.89632390998304,-15.1907378721517,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1
1ebp4,R,9.821150777,20.73103049,-10.90987971,-1876815.22859435,-1876825.04973771,-1876835.95960919,-1876606.87929112,-1876616.47766878,-1876597.02928235,9.85000877315178,-9.598377663875,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1
1ebp5,R,12.50563631,23.84661503,-11.34097872,-1876814.42726536,-1876826.93289222,-1876838.27386238,-1876608.6695743,-1876618.5911191,-1876596.55990562,12.1096686818637,-9.92154479934834,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1
1ebp1,S,9.145950584,22.18936251,-13.04341193,-1876819.04886915,-1876828.19481282,-1876841.2382149,-1876610.01495359,-1876622.11709217,-1876601.01584702,8.99910656921565,-12.1021385737695,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si:1]([O:2][C:3]([c:4]1[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]1[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]1[c:26](-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O-:25])[c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]1[C:44]([F:49])([F:50])[F:51],[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si]([O][C]([c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]1[c](-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O-])[c]([H])[c]([H])[c]([H])[c]1[C]([F])([F])[F]
1ebp2,S,6.800947679,27.88338348,-21.0824358,-1876818.79410049,-1876825.59504303,-1876846.67746291,-1876607.54947073,-1876627.17857976,-1876600.62867397,6.92079676128924,-19.6291090287268,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si:1]([O:2][C:3]([c:4]1[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]1[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:25][n+:42]1[c:27](-[c:26]2[c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]([C:44]([F:49])([F:50])[F:51])[n+:41]2[O-:24])[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]1[C:45]([F:46])([F:47])[F:48],[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si]([O][C]([c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]1[c](-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O-])[c]([H])[c]([H])[c]([H])[c]1[C]([F])([F])[F]
1ebp3,S,8.810860524,22.79051659,-13.97965606,-1876817.81204891,-1876826.62290278,-1876840.60254828,-1876608.6764769,-1876620.73845489,-1876599.73510116,8.94137574126944,-12.0619779978879,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1
1ebp4,S,9.930964936,20.75738589,-10.82642095,-1876815.691696,-1876825.62265343,-1876836.44906621,-1876607.51119268,-1876616.95834068,-1876597.56140998,9.94978270400316,-9.4471479950007,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1
1ebp5,S,18.82779426,13.53600686,5.291787394,-1876811.23387206,-1876830.0616521,-1876824.7698687,-1876612.09075337,-1876605.29922346,-1876593.22469528,18.8660580848809,6.79152990714647,[Si-:1]([O+:2]=[C:3]([c:4]1[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]1[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:41]1[c:26](-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O-:25])[c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]1[C:44]([F:49])([F:50])[F:51]>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:41]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:43])[c:29]2[C:44]([F:49])([F:50])[F:51])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:45]([F:46])([F:47])[F:48])[n+:42]2[O:25]1,[Si-]([O+]=[C]([c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]1[c](-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O-])[c]([H])[c]([H])[c]([H])[c]1[C]([F])([F])[F]>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([F])([F])[F])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[n+]2[O]1
1fbp1,R,8.322658154,12.11093285,-3.788274694,-1601864.2078228,-1601872.53047466,-1601876.3187465,-1601555.13391243,-1601557.98656834,-1601546.84577356,8.28813887224533,-2.85265591368079,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[C:44]([C:46]([H:49])([H:50])[H:51])([C:47]([H:52])([H:53])[H:54])[H:48])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:41]([C:55]([H:58])([H:59])[H:60])([H:56])[C:57]([H:61])([H:62])[H:63])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[C:44]([C:46]([H:49])([H:50])[H:51])([C:47]([H:52])([H:53])[H:54])[H:48])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:41]([C:55]([H:58])([H:59])[H:60])([H:56])[C:57]([H:61])([H:62])[H:63])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([C]([H])([H])[H])([C]([H])([H])[H])[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([C]([H])([H])[H])([H])[C]([H])([H])[H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([C]([H])([H])[H])([C]([H])([H])[H])[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([C]([H])([H])[H])([H])[C]([H])([H])[H])[n+]2[O]1
1fbp3,R,14.01103154,22.03499518,-8.023963644,-1601858.79995023,-1601872.81097119,-1601880.83492877,-1601555.45519704,-1601561.97125049,-1601541.682002,13.7731950411107,-6.51605345611461,[Si-2:1]1([O+:2]=[C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])[H:5])([C:20](=[C:17]=[C:16]([H:18])[H:19])[H:21])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[C:44]([C:46]([H:49])([H:50])[H:51])([C:47]([H:52])([H:53])[H:54])[H:48])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:41]([C:55]([H:58])([H:59])[H:60])([H:56])[C:57]([H:61])([H:62])[H:63])[n+:43]2[O:25]1>>[Si-:1]1([O:2][C:3]([c:4]2[c:6]([H:9])[c:8]([H:13])[c:12]([H:15])[c:10]([H:14])[c:7]2[H:11])([H:5])[C:16]([C:17]#[C:20][H:21])([H:18])[H:19])([Cl:22])([Cl:23])[O:24][n+:42]2[c:26]([c:31]([H:36])[c:32]([H:37])[c:30]([H:45])[c:29]2[C:44]([C:46]([H:49])([H:50])[H:51])([C:47]([H:52])([H:53])[H:54])[H:48])-[c:27]2[c:33]([H:38])[c:34]([H:39])[c:35]([H:40])[c:28]([C:41]([C:55]([H:58])([H:59])[H:60])([H:56])[C:57]([H:61])([H:62])[H:63])[n+:43]2[O:25]1,[Si-2]1([O+]=[C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[H])([C](=[C]=[C]([H])[H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([C]([H])([H])[H])([C]([H])([H])[H])[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([C]([H])([H])[H])([H])[C]([H])([H])[H])[n+]2[O]1>>[Si-]1([O][C]([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])([H])[C]([C]#[C][H])([H])[H])([Cl])([Cl])[O][n+]2[c]([c]([H])[c]([H])[c]([H])[c]2[C]([C]([H])([H])[H])([C]([H])([H])[H])[H])-[c]2[c]([H])[c]([H])[c]([H])[c]([C]([C]([H])([H])[H])([H])[C]([H])([H])[H])[n+]2[O]1
